id,rikishi,matches,wins,losses,pct,top_rank,favored_kimarite,heya,shusshin,height,avg_weight,bmi,birth_date,alt_shikona2,alt_shikona3
1123,Hakuho,1333,1121,212,0.84,Yokozuna,yorikiri,Miyagino,Mongolia,192.0,137.7,37.4,1985-03-11,,
7,Kaio,1598,956,642,0.6,Ozeki,yorikiri,Tomozuna,Fukuoka,184.0,0.0,0.0,1972-07-24,Koga,
89,Aminishiki,1700,831,869,0.49,Sekiwake,yorikiri,Isegahama,Aomori,186.0,0.0,0.0,1978-10-03,,
41,Kyokutenho,1715,827,888,0.48,Sekiwake,yorikiri,Tomozuna,Mongolia,191.0,141.3,38.7,1974-09-13,,
39,Wakanosato,1473,781,692,0.53,Sekiwake,yorikiri,Tagonoura,Aomori,184.0,147.6,43.6,1976-07-10,Kogawa,
1226,Kotoshogiku,1399,760,639,0.54,Ozeki,yorikiri,Sadogatake,Fukuoka,180.0,153.6,47.4,1984-01-30,,
1111,Harumafuji,1154,752,402,0.65,Yokozuna,yorikiri,Isegahama,Mongolia,185.0,116.6,34.1,1984-04-14,Ama,
2,Takanohana,1004,751,253,0.75,Yokozuna,yorikiri,Futagoyama,Tokyo,185.0,0.0,0.0,1972-08-12,Takahanada,
1235,Kisenosato,1214,742,472,0.61,Yokozuna,yorikiri,Tagonoura,Ibaraki,188.0,160.1,45.3,1986-07-03,Hagiwara,
33,Terao,1595,740,855,0.46,Sekiwake,hatakikomi,Izutsu,Kagoshima,184.0,108.8,32.1,1963-02-02,Genjiyama,
4,Musashimaru,1017,733,284,0.72,Yokozuna,oshidashi,Musashigawa,U.S.A.,192.0,0.0,0.0,1971-05-02,,
13,Tosanoumi,1444,713,731,0.49,Sekiwake,oshidashi,Isenoumi,Kochi,186.0,0.0,0.0,1972-02-16,,
8,Chiyotaikai,1197,703,494,0.59,Ozeki,oshidashi,Kokonoe,Oita,181.0,0.0,0.0,1976-04-29,,
9,Akinoshima,1362,694,668,0.51,Sekiwake,yorikiri,Futagoyama,Hiroshima,175.0,139.9,45.7,1967-03-16,,
1287,Konishiki,1185,690,495,0.58,Ozeki,yorikiri,Takasago,U.S.A.,184.0,245.5,72.5,1963-12-31,,
1219,Kakuryu,1119,689,430,0.62,Yokozuna,yorikiri,Michinoku,Mongolia,186.0,124.2,35.9,1985-08-10,,
5,Takanonami,1188,688,500,0.58,Ozeki,yorikiri,Takanohana,Aomori,196.0,157.5,41.0,1971-10-27,Namioka,
5944,Tamawashi,1380,685,695,0.5,Sekiwake,oshidashi,Kataonami,Mongolia,189.0,152.2,42.6,1984-11-16,,
1284,Takekaze,1422,678,744,0.48,Sekiwake,oshidashi,Oguruma,Akita,170.0,142.3,49.2,1979-06-21,Narita,
28,Mitoizumi,1367,675,692,0.49,Sekiwake,yorikiri,Takasago,Ibaraki,193.4,173.1,46.3,1962-09-02,,
6468,Goeido,1123,645,478,0.57,Ozeki,yorikiri,Sakaigawa,Osaka,183.0,143.1,42.7,1986-04-06,Sawai,
10,Tochinonada,1335,644,691,0.48,Sekiwake,yorikiri,Kasugano,Ishikawa,186.0,0.0,0.0,1974-02-26,Goto,
842,Miyabiyama,1224,641,583,0.52,Ozeki,oshidashi,Fujishima,Ibaraki,186.0,0.0,0.0,1977-07-28,Takeuchi,
14,Kotonowaka,1311,638,673,0.49,Sekiwake,yorikiri,Sadogatake,Yamagata,191.0,0.0,0.0,1968-05-15,,
878,Asashoryu,786,622,164,0.79,Yokozuna,yorikiri,Takasago,Mongolia,184.0,135.4,40.0,1980-09-27,,
1009,Asasekiryu,1258,616,642,0.49,Sekiwake,yorikiri,Takasago,Mongolia,184.0,138.1,40.8,1981-08-07,,
6599,Tochinoshin,1195,610,585,0.51,Ozeki,yorikiri,Kasugano,Georgia,192.0,153.6,41.7,1987-10-13,,
5967,Yoshikaze,1236,605,631,0.49,Sekiwake,yorikiri,Oguruma,Oita,175.0,133.7,43.7,1982-03-19,Onishi,
6473,Tochiozan,1186,604,582,0.51,Sekiwake,oshidashi,Kasugano,Kochi,189.0,145.1,40.6,1987-03-09,Kageyama,
