id,rikishi,matches,wins,losses,pct,top_rank,favored_kimarite,alt_shikona2,alt_shikona3
1123,Hakuho,1333,1121,212,0.84,Yokozuna,yorikiri,,
7,Kaio,1598,956,642,0.6,Ozeki,yorikiri,Koga,
89,Aminishiki,1700,831,869,0.49,Sekiwake,yorikiri,,
41,Kyokutenho,1715,827,888,0.48,Sekiwake,yorikiri,,
39,Wakanosato,1473,781,692,0.53,Sekiwake,yorikiri,Kogawa,
1226,Kotoshogiku,1399,760,639,0.54,Ozeki,yorikiri,,
1111,Harumafuji,1154,752,402,0.65,Yokozuna,yorikiri,Ama,
2,Takanohana,1004,751,253,0.75,Yokozuna,yorikiri,Takahanada,
1235,Kisenosato,1214,742,472,0.61,Yokozuna,yorikiri,Hagiwara,
33,Terao,1595,740,855,0.46,Sekiwake,hatakikomi,Genjiyama,
4,Musashimaru,1017,733,284,0.72,Yokozuna,oshidashi,,
13,Tosanoumi,1444,713,731,0.49,Sekiwake,oshidashi,,
8,Chiyotaikai,1197,703,494,0.59,Ozeki,oshidashi,,
9,Akinoshima,1362,694,668,0.51,Sekiwake,yorikiri,,
1287,Konishiki,1185,690,495,0.58,Ozeki,yorikiri,,
1219,Kakuryu,1119,689,430,0.62,Yokozuna,yorikiri,,
5,Takanonami,1188,688,500,0.58,Ozeki,yorikiri,Namioka,
5944,Tamawashi,1380,685,695,0.5,Sekiwake,oshidashi,,
1284,Takekaze,1422,678,744,0.48,Sekiwake,oshidashi,Narita,
28,Mitoizumi,1367,675,692,0.49,Sekiwake,yorikiri,,
6468,Goeido,1123,645,478,0.57,Ozeki,yorikiri,Sawai,
10,Tochinonada,1335,644,691,0.48,Sekiwake,yorikiri,Goto,
842,Miyabiyama,1224,641,583,0.52,Ozeki,oshidashi,Takeuchi,
14,Kotonowaka,1311,638,673,0.49,Sekiwake,yorikiri,,
878,Asashoryu,786,622,164,0.79,Yokozuna,yorikiri,,
1009,Asasekiryu,1258,616,642,0.49,Sekiwake,yorikiri,,
6599,Tochinoshin,1195,610,585,0.51,Ozeki,yorikiri,,
5967,Yoshikaze,1236,605,631,0.49,Sekiwake,yorikiri,Onishi,
