id,rikishi,losses,matches,wins,pct,top_rank,favored_kimarite,alt_shikona2,alt_shikona3
1123,Hakuho,212,1333,1121,0.84,Yokozuna,yorikiri,,
7,Kaio,642,1598,956,0.6,Ozeki,yorikiri,Koga,
89,Aminishiki,869,1700,831,0.49,Sekiwake,yorikiri,,
41,Kyokutenho,888,1715,827,0.48,Sekiwake,yorikiri,,
39,Wakanosato,692,1473,781,0.53,Sekiwake,yorikiri,Kogawa,
1226,Kotoshogiku,639,1399,760,0.54,Ozeki,yorikiri,,
1111,Harumafuji,402,1154,752,0.65,Yokozuna,yorikiri,Ama,
2,Takanohana,253,1004,751,0.75,Yokozuna,yorikiri,Takahanada,
1235,Kisenosato,472,1214,742,0.61,Yokozuna,yorikiri,Hagiwara,
33,Terao,855,1595,740,0.46,Sekiwake,hatakikomi,Genjiyama,
4,Musashimaru,284,1017,733,0.72,Yokozuna,oshidashi,,
13,Tosanoumi,731,1444,713,0.49,Sekiwake,oshidashi,,
8,Chiyotaikai,494,1197,703,0.59,Ozeki,oshidashi,,
9,Akinoshima,668,1362,694,0.51,Sekiwake,yorikiri,,
1287,Konishiki,495,1185,690,0.58,Ozeki,yorikiri,,
1219,Kakuryu,430,1119,689,0.62,Yokozuna,yorikiri,,
5,Takanonami,500,1188,688,0.58,Ozeki,yorikiri,Namioka,
5944,Tamawashi,695,1380,685,0.5,Sekiwake,oshidashi,,
1284,Takekaze,744,1422,678,0.48,Sekiwake,oshidashi,Narita,
28,Mitoizumi,692,1367,675,0.49,Sekiwake,yorikiri,,
6468,Goeido,478,1123,645,0.57,Ozeki,yorikiri,Sawai,
10,Tochinonada,691,1335,644,0.48,Sekiwake,yorikiri,Goto,
842,Miyabiyama,583,1224,641,0.52,Ozeki,oshidashi,Takeuchi,
14,Kotonowaka,673,1311,638,0.49,Sekiwake,yorikiri,,
878,Asashoryu,164,786,622,0.79,Yokozuna,yorikiri,,
1009,Asasekiryu,642,1258,616,0.49,Sekiwake,yorikiri,,
6599,Tochinoshin,585,1195,610,0.51,Ozeki,yorikiri,,
5967,Yoshikaze,631,1236,605,0.49,Sekiwake,yorikiri,Onishi,
18,Takatoriki,600,1204,604,0.5,Sekiwake,oshidashi,Kamakari,
1,Akebono,217,821,604,0.74,Yokozuna,oshidashi,,
6473,Tochiozan,582,1186,604,0.51,Sekiwake,oshidashi,Kageyama,
37,Kotoinazuma,666,1262,596,0.47,Komusubi,yorikiri,,
31,Dejima,492,1074,582,0.54,Ozeki,oshidashi,,
1227,Toyonoshima,559,1141,582,0.51,Sekiwake,yorikiri,,
30,Kitakachidoki,641,1216,575,0.47,Maegashira3,yorikiri,Kuga,
1292,Kotogaume,575,1148,573,0.5,Sekiwake,oshidashi,,
17,Tamakasuga,620,1191,571,0.48,Sekiwake,oshidashi,,
6463,Okinoumi,611,1177,566,0.48,Sekiwake,yorikiri,Fukuoka,
6480,Takayasu,437,998,561,0.56,Ozeki,yorikiri,,
12,Kotonishiki,494,1053,559,0.53,Sekiwake,yorikiri,Kotomatsuzawa,
1301,Kirishima,533,1091,558,0.51,Ozeki,yorikiri,,
11728,Takarafuji,592,1142,550,0.48,Sekiwake,yorikiri,,
876,Kotomitsuki,363,912,549,0.6,Ozeki,yorikiri,Kototamiya,
23,Tochinowaka,602,1150,548,0.48,Sekiwake,yorikiri,Kaseda,
51,Daizen,574,1116,542,0.49,Komusubi,yorikiri,,
1354,Chiyonofuji,91,632,541,0.86,Yokozuna,yorikiri,,
